🐼看电视呗,#genre#
温馨提醒,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
接口免费,https://ghp.ci/https://raw.githubusercontent.com/uc666/show/refs/heads/main/lib/tsyq.mp4
拒绝收费,https://cfss.cc/api/kg/12859358.mp4
拒绝收费,https://cfss.cc/api/yy/54880976.m3u8
拒绝收费,https://cfss.cc/api/yy/10287387.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010102/1.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
哈哈炫动,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8
哈哈炫动,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:1a0a:df::402c]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
湖北经视,http://qwe.iptviptv.site:9694/hls/570/index.m3u8
风云足球,http://s.cdhongyuan.cn:4022/udp/239.93.0.235:5140
风云足球,http://60.10.225.157:555/rtp/239.253.93.254:6432
风云足球,http://www.lizhinas.top:8688/rtp/239.252.219.96:5140
风云足球,http://mryx.fun:1025/udp/239.11.0.59:1025
风云足球,http://154.12.55.21/zb/zb.php?id=239.253.93.254:6432475173f06f696049e5f5502479f743f1&v=3&time=0
更新2024-10-08,https://api.lq.mba/api/dm-xjj
更新2024-10-08,https://api.yujn.cn/api/duilian.php?type=video
更新2024-10-08,https://api.kuleu.com/api/xjj?type=string
更新2024-10-08,http://api.yujn.cn/api/juhexjj.php?type=video
更新2024-10-08,http://api.yujn.cn/api/jiepai.php?type=video

🐼中央电视,#genre#

CCTV1综合,http://117.72.68.25:9930/migu.php?id=cctv1$咪咕直播
CCTV2财经,http://117.72.68.25:9930/migu.php?id=cctv2$咪咕直播
CCTV3综艺,http://117.72.68.25:9930/migu.php?id=cctv3$咪咕直播
CCTV4中文国际,http://117.72.68.25:9930/migu.php?id=cctv4$咪咕直播
CCTV4美洲,http://117.72.68.25:9930/migu.php?id=cctv4a$咪咕直播
CCTV4欧洲,http://117.72.68.25:9930/migu.php?id=cctv4o$咪咕直播
CCTV5体育,http://117.72.68.25:9930/migu.php?id=cctv5$咪咕直播
CCTV5+体育赛事,http://117.72.68.25:9930/migu.php?id=cctv5p$咪咕直播
CCTV6电影,http://117.72.68.25:9930/migu.php?id=cctv6$咪咕直播
CCTV7国防军事,http://117.72.68.25:9930/migu.php?id=cctv7$咪咕直播
CCTV8电视剧,http://117.72.68.25:9930/migu.php?id=cctv8$咪咕直播
CCTV9纪录,http://117.72.68.25:9930/migu.php?id=cctv9$咪咕直播
CCTV10科教,http://117.72.68.25:9930/migu.php?id=cctv10$咪咕直播
CCTV11戏曲,http://117.72.68.25:9930/migu.php?id=cctv11$咪咕直播
CCTV12社会与法,http://117.72.68.25:9930/migu.php?id=cctv12$咪咕直播
CCTV13新闻,http://117.72.68.25:9930/migu.php?id=cctv13$咪咕直播
CCTV14少儿,http://117.72.68.25:9930/migu.php?id=cctv14$咪咕直播
CCTV15音乐,http://117.72.68.25:9930/migu.php?id=cctv15$咪咕直播
CCTV17农业农村,http://117.72.68.25:9930/migu.php?id=cctv17$咪咕直播

CCTV6电影,http://8.138.7.223/tv/cctv6.m3u8$官方频道

